T	DD
389.5	-2.3150 
341	2.8522 
353	-0.7972 
484	0.7547 
368	-1.1799 
393	-0.2731 
423	-1.8296 
358	3.1864 
324	1.7633 
307	1.1667 
347	-3.4787 
418	1.6553 
365.5	-1.0813 
296	-4.3038 
609	-2.8589 
339	1.3261 
325	-0.0579 
355	0.0734 
246	-1.5434 
406	-3.8793 
389	-1.9024 
306	1.9865 
387	1.3607 
391	-1.4145 
408	0.8787 
320	-2.5262 
371	-3.1237 
288	0.1692 
265	1.9468 
431	-2.5104 
348	2.6662 
373	-0.6321 
335	1.0111 
328	-4.3634 
319	-2.7791 
396.5	-1.2137 
399	-0.8096 
433	7.4689 
440	1.8387 
